id;name;quantity;gros_weight;net_weight;length;width;height
1;cross-platform morph Bedfordshire;31593;50166;91807;41739;50630;12979
2;Web;95941;59145;97810;77406;26091;11605
3;Burkina transitional;2392;35763;19857;70393;85256;44188
4;efficient generating attitude;16292;33779;4431;70193;97557;64388
5;Central hard Applications;48639;76396;57424;36663;91736;96254
6;extend;43728;17997;98138;56997;4442;38327
7;generating Ball;48562;66913;28942;96040;52017;92880
8;end-to-end Director;77027;79422;72610;47352;29843;33037
9;navigate Consultant;26632;69276;73550;69842;38123;78808
10;Coordinator;6433;93751;2713;66827;10145;377
